station,date,product,element,value
acecrowa,2021-04-17,gridmet,ppt,0
acecrowa,2021-04-18,gridmet,ppt,6.5
acecrowa,2021-04-19,gridmet,ppt,1.3
acecrowa,2021-04-20,gridmet,ppt,0
acecrowa,2021-04-21,gridmet,ppt,0
acecrowa,2021-04-22,gridmet,ppt,2.3
acecrowa,2021-04-23,gridmet,ppt,1.6
acecrowa,2021-04-24,gridmet,ppt,0
acecrowa,2021-04-25,gridmet,ppt,1.8
acecrowa,2021-04-26,gridmet,ppt,3.5999999
acecrowa,2021-04-27,gridmet,ppt,0
acecrowa,2021-04-28,gridmet,ppt,0
acecrowa,2021-04-29,gridmet,ppt,0
acecrowa,2021-04-30,gridmet,ppt,0
acehavre,2021-04-01,gridmet,ppt,0
acehavre,2021-04-02,gridmet,ppt,0
acehavre,2021-04-03,gridmet,ppt,0
acehavre,2021-04-04,gridmet,ppt,0.3
acehavre,2021-04-05,gridmet,ppt,0
acehavre,2021-04-06,gridmet,ppt,0
acehavre,2021-04-07,gridmet,ppt,0
acehavre,2021-04-08,gridmet,ppt,0
acehavre,2021-04-09,gridmet,ppt,0
acehavre,2021-04-10,gridmet,ppt,0
acehavre,2021-04-11,gridmet,ppt,0
acehavre,2021-04-12,gridmet,ppt,0
acehavre,2021-04-13,gridmet,ppt,1.4
acehavre,2021-04-14,gridmet,ppt,0.4
acehavre,2021-04-15,gridmet,ppt,0
acehavre,2021-04-16,gridmet,ppt,0
acehavre,2021-04-17,gridmet,ppt,0
acehavre,2021-04-18,gridmet,ppt,4.0999999
acehavre,2021-04-19,gridmet,ppt,0.5
acehavre,2021-04-20,gridmet,ppt,0
acehavre,2021-04-21,gridmet,ppt,0
acehavre,2021-04-22,gridmet,ppt,1.4
acehavre,2021-04-23,gridmet,ppt,0.3
acehavre,2021-04-24,gridmet,ppt,2.2
acehavre,2021-04-25,gridmet,ppt,1.4
acehavre,2021-04-26,gridmet,ppt,0
acehavre,2021-04-27,gridmet,ppt,0
acehavre,2021-04-28,gridmet,ppt,0
acehavre,2021-04-29,gridmet,ppt,0
acehavre,2021-04-30,gridmet,ppt,0
aceingom,2021-04-01,gridmet,ppt,0
aceingom,2021-04-02,gridmet,ppt,0
aceingom,2021-04-03,gridmet,ppt,0
aceingom,2021-04-04,gridmet,ppt,0
aceingom,2021-04-05,gridmet,ppt,0
aceingom,2021-04-06,gridmet,ppt,0
aceingom,2021-04-07,gridmet,ppt,0
aceingom,2021-04-08,gridmet,ppt,1.3
aceingom,2021-04-09,gridmet,ppt,0
aceingom,2021-04-10,gridmet,ppt,0
aceingom,2021-04-11,gridmet,ppt,0
aceingom,2021-04-12,gridmet,ppt,0
aceingom,2021-04-13,gridmet,ppt,1.3
aceingom,2021-04-14,gridmet,ppt,0
aceingom,2021-04-15,gridmet,ppt,0
aceingom,2021-04-16,gridmet,ppt,0
aceingom,2021-04-17,gridmet,ppt,0
aceingom,2021-04-18,gridmet,ppt,2.9000001
aceingom,2021-04-19,gridmet,ppt,1
aceingom,2021-04-20,gridmet,ppt,0
aceingom,2021-04-21,gridmet,ppt,0
aceingom,2021-04-22,gridmet,ppt,2.4000001
aceingom,2021-04-23,gridmet,ppt,0
aceingom,2021-04-24,gridmet,ppt,1.9
aceingom,2021-04-25,gridmet,ppt,2.4000001
aceingom,2021-04-26,gridmet,ppt,0
aceingom,2021-04-27,gridmet,ppt,0
aceingom,2021-04-28,gridmet,ppt,0
aceingom,2021-04-29,gridmet,ppt,0
aceingom,2021-04-30,gridmet,ppt,0
acemelvi,2021-04-01,gridmet,ppt,0
acemelvi,2021-04-02,gridmet,ppt,0
acemelvi,2021-04-03,gridmet,ppt,0
acemelvi,2021-04-04,gridmet,ppt,0
acemelvi,2021-04-05,gridmet,ppt,7.1999998
acemelvi,2021-04-06,gridmet,ppt,4.5999999
acemelvi,2021-04-07,gridmet,ppt,0
acemelvi,2021-04-08,gridmet,ppt,1.8
acemelvi,2021-04-09,gridmet,ppt,0
acemelvi,2021-04-10,gridmet,ppt,0.4
acemelvi,2021-04-11,gridmet,ppt,0
acemelvi,2021-04-12,gridmet,ppt,0
acemelvi,2021-04-13,gridmet,ppt,0
acemelvi,2021-04-14,gridmet,ppt,0.4
acemelvi,2021-04-15,gridmet,ppt,0.6
acemelvi,2021-04-16,gridmet,ppt,0
acemelvi,2021-04-17,gridmet,ppt,0
acemelvi,2021-04-18,gridmet,ppt,6.8000002
acemelvi,2021-04-19,gridmet,ppt,0.5
acemelvi,2021-04-20,gridmet,ppt,0
acemelvi,2021-04-21,gridmet,ppt,0
acemelvi,2021-04-22,gridmet,ppt,4.5999999
acemelvi,2021-04-23,gridmet,ppt,0
acemelvi,2021-04-24,gridmet,ppt,3.3
acemelvi,2021-04-25,gridmet,ppt,10.5
acemelvi,2021-04-26,gridmet,ppt,0
acemelvi,2021-04-27,gridmet,ppt,0
acemelvi,2021-04-28,gridmet,ppt,0
acemelvi,2021-04-29,gridmet,ppt,0
acemelvi,2021-04-30,gridmet,ppt,0
acemiles,2021-04-01,gridmet,ppt,0
acemiles,2021-04-02,gridmet,ppt,0
acemiles,2021-04-03,gridmet,ppt,0
acemiles,2021-04-04,gridmet,ppt,0
acemiles,2021-04-05,gridmet,ppt,0
acemiles,2021-04-06,gridmet,ppt,0
acemiles,2021-04-07,gridmet,ppt,0
acemiles,2021-04-08,gridmet,ppt,1.2
acemiles,2021-04-09,gridmet,ppt,0
acemiles,2021-04-10,gridmet,ppt,0
acemiles,2021-04-11,gridmet,ppt,1.9
acemiles,2021-04-12,gridmet,ppt,0
acemiles,2021-04-13,gridmet,ppt,1
acemiles,2021-04-14,gridmet,ppt,0
acemiles,2021-04-15,gridmet,ppt,0
acemiles,2021-04-16,gridmet,ppt,0
acemiles,2021-04-17,gridmet,ppt,0
acemiles,2021-04-18,gridmet,ppt,2.4000001
acemiles,2021-04-19,gridmet,ppt,1.2
acemiles,2021-04-20,gridmet,ppt,0
acemiles,2021-04-21,gridmet,ppt,0
acemiles,2021-04-22,gridmet,ppt,0
acemiles,2021-04-23,gridmet,ppt,0
acemiles,2021-04-24,gridmet,ppt,0.4
acemiles,2021-04-25,gridmet,ppt,2.4000001
acemiles,2021-04-26,gridmet,ppt,0
acemiles,2021-04-27,gridmet,ppt,0
acemiles,2021-04-28,gridmet,ppt,0
acemiles,2021-04-29,gridmet,ppt,0
acemiles,2021-04-30,gridmet,ppt,0
acemocca,2021-04-01,gridmet,ppt,0
acemocca,2021-04-02,gridmet,ppt,0
acemocca,2021-04-03,gridmet,ppt,0.6
acemocca,2021-04-04,gridmet,ppt,0.5
acemocca,2021-04-05,gridmet,ppt,5.5999999
acemocca,2021-04-06,gridmet,ppt,0
acemocca,2021-04-07,gridmet,ppt,0
acemocca,2021-04-08,gridmet,ppt,1.1
acemocca,2021-04-09,gridmet,ppt,0.5
acemocca,2021-04-10,gridmet,ppt,0.9
acemocca,2021-04-11,gridmet,ppt,0
acemocca,2021-04-12,gridmet,ppt,0
acemocca,2021-04-13,gridmet,ppt,2.8
acemocca,2021-04-14,gridmet,ppt,1.2
acemocca,2021-04-15,gridmet,ppt,0
acemocca,2021-04-16,gridmet,ppt,0
acemocca,2021-04-17,gridmet,ppt,0
acemocca,2021-04-18,gridmet,ppt,6.8000002
acemocca,2021-04-19,gridmet,ppt,1.3
acemocca,2021-04-20,gridmet,ppt,0
acemocca,2021-04-21,gridmet,ppt,0
acemocca,2021-04-22,gridmet,ppt,3.0999999
acemocca,2021-04-23,gridmet,ppt,0.5
acemocca,2021-04-24,gridmet,ppt,7.6999998
acemocca,2021-04-25,gridmet,ppt,2.8
acemocca,2021-04-26,gridmet,ppt,0
acemocca,2021-04-27,gridmet,ppt,0
acemocca,2021-04-28,gridmet,ppt,0
acemocca,2021-04-29,gridmet,ppt,0
acemocca,2021-04-30,gridmet,ppt,0
aceround,2021-04-01,gridmet,ppt,0
aceround,2021-04-02,gridmet,ppt,0
aceround,2021-04-03,gridmet,ppt,0
aceround,2021-04-04,gridmet,ppt,0
aceround,2021-04-05,gridmet,ppt,0
aceround,2021-04-06,gridmet,ppt,0
aceround,2021-04-07,gridmet,ppt,0
aceround,2021-04-08,gridmet,ppt,0.6
aceround,2021-04-09,gridmet,ppt,0
aceround,2021-04-10,gridmet,ppt,0
aceround,2021-04-11,gridmet,ppt,0
aceround,2021-04-12,gridmet,ppt,0
aceround,2021-04-13,gridmet,ppt,2.0999999
aceround,2021-04-14,gridmet,ppt,0.5
aceround,2021-04-15,gridmet,ppt,0
aceround,2021-04-16,gridmet,ppt,0
aceround,2021-04-17,gridmet,ppt,0
aceround,2021-04-18,gridmet,ppt,3.5
aceround,2021-04-19,gridmet,ppt,0
aceround,2021-04-20,gridmet,ppt,0
aceround,2021-04-21,gridmet,ppt,0
aceround,2021-04-22,gridmet,ppt,1.6
aceround,2021-04-23,gridmet,ppt,0
aceround,2021-04-24,gridmet,ppt,3.9000001
aceround,2021-04-25,gridmet,ppt,2.5999999
aceround,2021-04-26,gridmet,ppt,0
aceround,2021-04-27,gridmet,ppt,0
aceround,2021-04-28,gridmet,ppt,0
aceround,2021-04-29,gridmet,ppt,0
aceround,2021-04-30,gridmet,ppt,0
acesidne,2021-04-01,gridmet,ppt,0
acesidne,2021-04-02,gridmet,ppt,0
acesidne,2021-04-03,gridmet,ppt,0
acesidne,2021-04-04,gridmet,ppt,0
acesidne,2021-04-05,gridmet,ppt,0
acesidne,2021-04-06,gridmet,ppt,0
acesidne,2021-04-07,gridmet,ppt,0
acesidne,2021-04-08,gridmet,ppt,2.0999999
acesidne,2021-04-09,gridmet,ppt,0
acesidne,2021-04-10,gridmet,ppt,3.2
acesidne,2021-04-11,gridmet,ppt,1.9
acesidne,2021-04-12,gridmet,ppt,0.4
acesidne,2021-04-13,gridmet,ppt,0.3
acesidne,2021-04-14,gridmet,ppt,0
acesidne,2021-04-15,gridmet,ppt,0
acesidne,2021-04-16,gridmet,ppt,0
acesidne,2021-04-17,gridmet,ppt,0
acesidne,2021-04-18,gridmet,ppt,0
acesidne,2021-04-19,gridmet,ppt,0
acesidne,2021-04-20,gridmet,ppt,0
acesidne,2021-04-21,gridmet,ppt,0
acesidne,2021-04-22,gridmet,ppt,0
acesidne,2021-04-23,gridmet,ppt,0
acesidne,2021-04-24,gridmet,ppt,0
acesidne,2021-04-25,gridmet,ppt,0.3
acesidne,2021-04-26,gridmet,ppt,0
acesidne,2021-04-27,gridmet,ppt,0
acesidne,2021-04-28,gridmet,ppt,0
acesidne,2021-04-29,gridmet,ppt,0
acesidne,2021-04-30,gridmet,ppt,0
arskeogh,2021-04-01,gridmet,ppt,0
arskeogh,2021-04-02,gridmet,ppt,0
arskeogh,2021-04-03,gridmet,ppt,0
arskeogh,2021-04-04,gridmet,ppt,0
arskeogh,2021-04-05,gridmet,ppt,0
arskeogh,2021-04-06,gridmet,ppt,0
arskeogh,2021-04-07,gridmet,ppt,0
arskeogh,2021-04-08,gridmet,ppt,1.2
arskeogh,2021-04-09,gridmet,ppt,0
arskeogh,2021-04-10,gridmet,ppt,0
arskeogh,2021-04-11,gridmet,ppt,1.9
arskeogh,2021-04-12,gridmet,ppt,0
arskeogh,2021-04-13,gridmet,ppt,1
arskeogh,2021-04-14,gridmet,ppt,0
arskeogh,2021-04-15,gridmet,ppt,0
arskeogh,2021-04-16,gridmet,ppt,0
arskeogh,2021-04-17,gridmet,ppt,0
arskeogh,2021-04-18,gridmet,ppt,2.4000001
arskeogh,2021-04-19,gridmet,ppt,1.2
arskeogh,2021-04-20,gridmet,ppt,0
arskeogh,2021-04-21,gridmet,ppt,0
arskeogh,2021-04-22,gridmet,ppt,0
arskeogh,2021-04-23,gridmet,ppt,0
arskeogh,2021-04-24,gridmet,ppt,0.4
arskeogh,2021-04-25,gridmet,ppt,2.4000001
arskeogh,2021-04-26,gridmet,ppt,0
arskeogh,2021-04-27,gridmet,ppt,0
arskeogh,2021-04-28,gridmet,ppt,0
arskeogh,2021-04-29,gridmet,ppt,0
arskeogh,2021-04-30,gridmet,ppt,0
arskeose,2021-04-01,gridmet,ppt,0
arskeose,2021-04-02,gridmet,ppt,0
arskeose,2021-04-03,gridmet,ppt,0
arskeose,2021-04-04,gridmet,ppt,0
arskeose,2021-04-05,gridmet,ppt,0
arskeose,2021-04-06,gridmet,ppt,0
arskeose,2021-04-07,gridmet,ppt,0
arskeose,2021-04-08,gridmet,ppt,0.8
arskeose,2021-04-09,gridmet,ppt,0
arskeose,2021-04-10,gridmet,ppt,0
arskeose,2021-04-11,gridmet,ppt,1.9
arskeose,2021-04-12,gridmet,ppt,0
arskeose,2021-04-13,gridmet,ppt,1
arskeose,2021-04-14,gridmet,ppt,0
arskeose,2021-04-15,gridmet,ppt,0
arskeose,2021-04-16,gridmet,ppt,0
arskeose,2021-04-17,gridmet,ppt,0
arskeose,2021-04-18,gridmet,ppt,2.0999999
arskeose,2021-04-19,gridmet,ppt,0.8
arskeose,2021-04-20,gridmet,ppt,0
arskeose,2021-04-21,gridmet,ppt,0
arskeose,2021-04-22,gridmet,ppt,0
arskeose,2021-04-23,gridmet,ppt,0
arskeose,2021-04-24,gridmet,ppt,0.3
arskeose,2021-04-25,gridmet,ppt,2.0999999
arskeose,2021-04-26,gridmet,ppt,0
arskeose,2021-04-27,gridmet,ppt,0
arskeose,2021-04-28,gridmet,ppt,0
arskeose,2021-04-29,gridmet,ppt,0
arskeose,2021-04-30,gridmet,ppt,0
arskeosw,2021-04-01,gridmet,ppt,0
arskeosw,2021-04-02,gridmet,ppt,0
arskeosw,2021-04-03,gridmet,ppt,0
arskeosw,2021-04-04,gridmet,ppt,0
arskeosw,2021-04-05,gridmet,ppt,0
arskeosw,2021-04-06,gridmet,ppt,0
arskeosw,2021-04-07,gridmet,ppt,0
arskeosw,2021-04-08,gridmet,ppt,1.1
arskeosw,2021-04-09,gridmet,ppt,0
arskeosw,2021-04-10,gridmet,ppt,0.3
arskeosw,2021-04-11,gridmet,ppt,1.5
arskeosw,2021-04-12,gridmet,ppt,0
arskeosw,2021-04-13,gridmet,ppt,0.8
arskeosw,2021-04-14,gridmet,ppt,0
arskeosw,2021-04-15,gridmet,ppt,0
arskeosw,2021-04-16,gridmet,ppt,0
arskeosw,2021-04-17,gridmet,ppt,0
arskeosw,2021-04-18,gridmet,ppt,2.7
arskeosw,2021-04-19,gridmet,ppt,1.2
arskeosw,2021-04-20,gridmet,ppt,0
arskeosw,2021-04-21,gridmet,ppt,0
arskeosw,2021-04-22,gridmet,ppt,0
arskeosw,2021-04-23,gridmet,ppt,0
arskeosw,2021-04-24,gridmet,ppt,0
arskeosw,2021-04-25,gridmet,ppt,2.5999999
arskeosw,2021-04-26,gridmet,ppt,0
arskeosw,2021-04-27,gridmet,ppt,0
arskeosw,2021-04-28,gridmet,ppt,0
arskeosw,2021-04-29,gridmet,ppt,0
arskeosw,2021-04-30,gridmet,ppt,0
bentlake,2021-04-01,gridmet,ppt,0
bentlake,2021-04-02,gridmet,ppt,0
bentlake,2021-04-03,gridmet,ppt,0
bentlake,2021-04-04,gridmet,ppt,2.5
bentlake,2021-04-05,gridmet,ppt,1.3
bentlake,2021-04-06,gridmet,ppt,0
bentlake,2021-04-07,gridmet,ppt,0
bentlake,2021-04-08,gridmet,ppt,0
bentlake,2021-04-09,gridmet,ppt,0
bentlake,2021-04-10,gridmet,ppt,1.6
bentlake,2021-04-11,gridmet,ppt,0
bentlake,2021-04-12,gridmet,ppt,0
bentlake,2021-04-13,gridmet,ppt,0.7
bentlake,2021-04-14,gridmet,ppt,0.8
bentlake,2021-04-15,gridmet,ppt,0.9
bentlake,2021-04-16,gridmet,ppt,0
bentlake,2021-04-17,gridmet,ppt,0
bentlake,2021-04-18,gridmet,ppt,5.5999999
bentlake,2021-04-19,gridmet,ppt,0.7
bentlake,2021-04-20,gridmet,ppt,0
bentlake,2021-04-21,gridmet,ppt,0
bentlake,2021-04-22,gridmet,ppt,1.4
bentlake,2021-04-23,gridmet,ppt,0.5
bentlake,2021-04-24,gridmet,ppt,5.5
bentlake,2021-04-25,gridmet,ppt,4.5999999
bentlake,2021-04-26,gridmet,ppt,0
bentlake,2021-04-27,gridmet,ppt,0
bentlake,2021-04-28,gridmet,ppt,0
bentlake,2021-04-29,gridmet,ppt,0
bentlake,2021-04-30,gridmet,ppt,0
blm1arge,2021-04-01,gridmet,ppt,0
blm1arge,2021-04-02,gridmet,ppt,0
blm1arge,2021-04-03,gridmet,ppt,0
blm1arge,2021-04-04,gridmet,ppt,0
blm1arge,2021-04-05,gridmet,ppt,2.5999999
blm1arge,2021-04-06,gridmet,ppt,0
blm1arge,2021-04-07,gridmet,ppt,0
blm1arge,2021-04-08,gridmet,ppt,0
blm1arge,2021-04-09,gridmet,ppt,0
blm1arge,2021-04-10,gridmet,ppt,0
blm1arge,2021-04-11,gridmet,ppt,0
blm1arge,2021-04-12,gridmet,ppt,0
blm1arge,2021-04-13,gridmet,ppt,0
blm1arge,2021-04-14,gridmet,ppt,0
blm1arge,2021-04-15,gridmet,ppt,0
blm1arge,2021-04-16,gridmet,ppt,0
blm1arge,2021-04-17,gridmet,ppt,0
blm1arge,2021-04-18,gridmet,ppt,1.2
blm1arge,2021-04-19,gridmet,ppt,1.1
blm1arge,2021-04-20,gridmet,ppt,0
blm1arge,2021-04-21,gridmet,ppt,0
blm1arge,2021-04-22,gridmet,ppt,0
blm1arge,2021-04-23,gridmet,ppt,0
blm1arge,2021-04-24,gridmet,ppt,0
blm1arge,2021-04-25,gridmet,ppt,2.5999999
blm1arge,2021-04-26,gridmet,ppt,0
blm1arge,2021-04-27,gridmet,ppt,0
blm1arge,2021-04-28,gridmet,ppt,0
blm1arge,2021-04-29,gridmet,ppt,0
blm1arge,2021-04-30,gridmet,ppt,0
blm2virg,2021-04-01,gridmet,ppt,0
blm2virg,2021-04-02,gridmet,ppt,0
blm2virg,2021-04-03,gridmet,ppt,0
blm2virg,2021-04-04,gridmet,ppt,0
blm2virg,2021-04-05,gridmet,ppt,4.5999999
blm2virg,2021-04-06,gridmet,ppt,1.8
blm2virg,2021-04-07,gridmet,ppt,0
blm2virg,2021-04-08,gridmet,ppt,2.5
blm2virg,2021-04-09,gridmet,ppt,0
blm2virg,2021-04-10,gridmet,ppt,0.5
blm2virg,2021-04-11,gridmet,ppt,0
blm2virg,2021-04-12,gridmet,ppt,0
blm2virg,2021-04-13,gridmet,ppt,0
blm2virg,2021-04-14,gridmet,ppt,0.6
blm2virg,2021-04-15,gridmet,ppt,0
blm2virg,2021-04-16,gridmet,ppt,0
blm2virg,2021-04-17,gridmet,ppt,0
blm2virg,2021-04-18,gridmet,ppt,1.5
blm2virg,2021-04-19,gridmet,ppt,0.6
blm2virg,2021-04-20,gridmet,ppt,0
blm2virg,2021-04-21,gridmet,ppt,0
blm2virg,2021-04-22,gridmet,ppt,0.7
blm2virg,2021-04-23,gridmet,ppt,0
blm2virg,2021-04-24,gridmet,ppt,5.5
blm2virg,2021-04-25,gridmet,ppt,15.8999996
blm2virg,2021-04-26,gridmet,ppt,0.9
blm2virg,2021-04-27,gridmet,ppt,0
blm2virg,2021-04-28,gridmet,ppt,0
blm2virg,2021-04-29,gridmet,ppt,0
blm2virg,2021-04-30,gridmet,ppt,0
blm3mcca,2021-04-01,gridmet,ppt,0
blm3mcca,2021-04-02,gridmet,ppt,0
blm3mcca,2021-04-03,gridmet,ppt,0
blm3mcca,2021-04-04,gridmet,ppt,0
blm3mcca,2021-04-05,gridmet,ppt,2.0999999
blm3mcca,2021-04-06,gridmet,ppt,0
blm3mcca,2021-04-07,gridmet,ppt,0
blm3mcca,2021-04-08,gridmet,ppt,0.4
blm3mcca,2021-04-09,gridmet,ppt,0
blm3mcca,2021-04-10,gridmet,ppt,0
blm3mcca,2021-04-11,gridmet,ppt,2.0999999
blm3mcca,2021-04-12,gridmet,ppt,0
blm3mcca,2021-04-13,gridmet,ppt,0
blm3mcca,2021-04-14,gridmet,ppt,0
blm3mcca,2021-04-15,gridmet,ppt,0
blm3mcca,2021-04-16,gridmet,ppt,0
blm3mcca,2021-04-17,gridmet,ppt,0
blm3mcca,2021-04-18,gridmet,ppt,1.6
blm3mcca,2021-04-19,gridmet,ppt,0.5
blm3mcca,2021-04-20,gridmet,ppt,0
blm3mcca,2021-04-21,gridmet,ppt,0
blm3mcca,2021-04-22,gridmet,ppt,0
blm3mcca,2021-04-23,gridmet,ppt,0
blm3mcca,2021-04-24,gridmet,ppt,1.4
blm3mcca,2021-04-25,gridmet,ppt,3.3
blm3mcca,2021-04-26,gridmet,ppt,0
blm3mcca,2021-04-27,gridmet,ppt,0
blm3mcca,2021-04-28,gridmet,ppt,0
blm3mcca,2021-04-29,gridmet,ppt,0
blm3mcca,2021-04-30,gridmet,ppt,0
blm5kidd,2021-04-01,gridmet,ppt,0
blm5kidd,2021-04-02,gridmet,ppt,0
blm5kidd,2021-04-03,gridmet,ppt,0
blm5kidd,2021-04-04,gridmet,ppt,0
blm5kidd,2021-04-05,gridmet,ppt,6.5
blm5kidd,2021-04-06,gridmet,ppt,0
blm5kidd,2021-04-07,gridmet,ppt,0
blm5kidd,2021-04-08,gridmet,ppt,0
blm5kidd,2021-04-09,gridmet,ppt,0
blm5kidd,2021-04-10,gridmet,ppt,0
blm5kidd,2021-04-11,gridmet,ppt,0
blm5kidd,2021-04-12,gridmet,ppt,0
blm5kidd,2021-04-13,gridmet,ppt,0
blm5kidd,2021-04-14,gridmet,ppt,0
blm5kidd,2021-04-15,gridmet,ppt,0
blm5kidd,2021-04-16,gridmet,ppt,0
blm5kidd,2021-04-17,gridmet,ppt,0
blm5kidd,2021-04-18,gridmet,ppt,0.3
blm5kidd,2021-04-19,gridmet,ppt,0.6
blm5kidd,2021-04-20,gridmet,ppt,0
blm5kidd,2021-04-21,gridmet,ppt,0
blm5kidd,2021-04-22,gridmet,ppt,0
blm5kidd,2021-04-23,gridmet,ppt,0
blm5kidd,2021-04-24,gridmet,ppt,0.7
blm5kidd,2021-04-25,gridmet,ppt,3.2
blm5kidd,2021-04-26,gridmet,ppt,0
blm5kidd,2021-04-27,gridmet,ppt,0
blm5kidd,2021-04-28,gridmet,ppt,0
blm5kidd,2021-04-29,gridmet,ppt,0
blm5kidd,2021-04-30,gridmet,ppt,0
blmangel,2021-04-01,gridmet,ppt,0
blmangel,2021-04-02,gridmet,ppt,0
blmangel,2021-04-03,gridmet,ppt,0
blmangel,2021-04-04,gridmet,ppt,0
blmangel,2021-04-05,gridmet,ppt,0
blmangel,2021-04-06,gridmet,ppt,0
blmangel,2021-04-07,gridmet,ppt,0
